Política pública;Objetivo principal;Grupo;Fecha / Periodo;Resultado final;Evaluación;
Vicente López Digital;Instalar 270+ cámaras + Wi?Fi en plazas públicas;Seguridad / TIC;2007–2011;Instalado y operativo;Éxito: mejoró monitoreo y conectividad ;
Entubamiento arroyo Medrano, Villa Martelli;Prevenir inundaciones en zona oeste;Infraestructura / Ambiente;2011;Obra finalizada;Éxito: mitigó anegamientos recurrentes;
Escuelas y jardines (28 jardines, 70 escuelas);Expandir la infraestructura educativa en el distrito;Educación / Obras públicas;Hasta 2011;Construidos y funcionando;Éxito: aumentó matrícula escolar;
100?% calles asfaltadas;Asfaltado de la totalidad de calles del municipio;Movilidad / Infraestructura;2007–2011;Finalizado;Éxito: mejoró tránsito y calidad vial;
Nueva planta farmacéutica Roemmers?Pharma;Instalar planta de producción farmacéutica;Economía / Salud industrial;2001;Inaugurada;Éxito: generó inversión local;
Vial costero + puente Néstor Kirchner;Conectar Libertador con el camino costero;Urbanismo / Infraestructura;2011;Completado e inaugurado;Éxito: mejoró circulación costera;
Secretaría de Seguridad + Policía Municipal;Centralizar cámaras y crear fuerza propia;Seguridad ciudadana;2012–2013;Implementado;Éxito: consolidó seguridad local;
Compra irregular de camionetas (Hilux);Dotar de patrulleros al municipio;Gestión municipal;2014;Compra cuestionada;Fracaso/Escándalo: crítica pública;
Metrobús Norte;Sistema de transporte rápido entre Vicente?López y CABA;Transporte / Obra pública;Convenio 2014, inauguración 2015;Ejecutado;Éxito: premiado por planificación urbana;
Apoyo a comercios no esenciales (COVID?19);Subsidiar y eximir tasas a comercios afectados por cuarentena;Economía local / Subsidio;2020;Programa implementado;Éxito: alivió fuerte impacto económico;
Política ambiental – recolección de aceites;Recolectar aceites usados para biodiesel y donación a ONG local;Ambiente / Sustentabilidad;Desde 2011;Recolectados ~476.000?l, ONG beneficiada;Éxito: impacto ambiental y social;
Entubamiento Arroyo Medrano;Evitar inundaciones en Villa?Martelli;Infraestructura / Ambiente;2007–2011;Finalizado;Éxito – redujo anegamientos;
100?% calles asfaltadas;Asfaltado integral del distrito;Movilidad / Infraestructura;2007–2011;Completado;Éxito – mejor transitabilidad;
Planta farmacéutica Roemmers?Pharma;Instalación de planta de producción farmacéutica;Economía / Salud industrial;2001;Inaugurada;Éxito – atrajo inversión;
Vial costero + puente Néstor Kirchner;Conectar Av. Libertador con camino costero;Urbanismo / Infraestructura;2011;Inaugurado;Éxito – mejor circulación;
Apoyo a comercios no esenciales durante COVID?19;Subsidios y exención de tasas a pequeños comercios afectados por la cuarentena;Economía local / Subsidio;2020;Lanzado y aplicado;Éxito – alivio económico;
Recolección de aceites para biodiesel y ong;Recolectar aceites usados para reciclaje y donar fondos a ONG local;Ambiente / Sustentabilidad;Desde 2011;Continuado;Éxito – impacto ambiental/social;
Compra irregular de camionetas (Hilux);Dotar de vehículos para patrullaje;Seguridad / Gestión municipal;2014;Compra cuestionada;Fracaso – escándalo;
Presupuesto Participativo (ediciones de 2012 a 2016);Promover participación ciudadana en inversiones municipales;Participación Ciudadana;2012–2016;Implementado ininterrumpido;Positivo – creciente participación;
Plan de Costa 100?% Pública;Recuperar y mejorar accesos, veredas, rampas y seguridad en la costa;Urbanismo / Espacios públicos;2024–2025;Obras finalizadas/inauguradas;Éxito: mayor uso público y mejoras estructurales;
Archivo Histórico Digital;Digitalizar y poner a disposición documentos históricos del municipio;Cultura / Patrimonio;2023;Plataforma lanzada;Éxito: aumentó acceso comunitario a historia local;
Intensificación de política ambiental;Campañas y talleres para reducir uso de plásticos y fomentar sustentabilidad;Ambiente / Educación;2023–2024;Ejecución con entrega de bolsas;Éxito: conciencia ambiental creciente;
Creación del Instituto de Investigaciones Históricas;Investigar, difundir la historia y conservar patrimonio (Torre Ader);Cultura / Patrimonio;1970–2000;Institución consolidada;Éxito: múltiples actividades y publicaciones;
Sistema de monitoreo yCentralización de Cámaras;Unificar cámaras y botones de pánico bajo una nueva Secretaría de Seguridad;Seguridad / TIC;2012–2013;Sistema operativo;Éxito: mejor coordinación y respuesta;
Metrobus Norte;Implementar corredor rápido de colectivos entre jurisdicciones;Transporte público;2014–2015;Línea puesta en marcha;Éxito: reducción de tiempos y mejor movilidad;
Iniciativa “Más salud y educación”;Aumentar inversión educativa y sanitaria municipal (gestion Soledad Martínez);Social / Salud y Educación;2023–2024;Parcialmente ejecutada;Fracaso: se cuestiona por falta de resultados concretos;
Intensificación de política ambiental;Concientización ambiental en vecinos, entrega de bolsas reutilizables, recolección de aceite usado para biodiesel;Ambiente / Sustentabilidad;2011–2025;Modelo activo y replicable;Éxito: recolectados 476.274?l de aceite, impacto ambiental y social ;
Archivo Histórico Digital;Digitalizar documentos históricos y ponerlos accesibles online;Cultura / Patrimonio;2023;Plataforma lanzada;Éxito: aumento de acceso comunitario a patrimonio local;
Red de Bibliotecas Municipales (14 sucursales);Fortalecer la lectura y acceso cultural a través de red de bibliotecas públicas;Cultura / Educación;Desde 2000s;14 bibliotecas operativas;Éxito comprobado por vigencia y uso comunitario;
Plataforma de Datos Abiertos relanzada;Transparencia en gestión: ejecución presupuestaria y datos públicos;Transparencia / TIC;2025;Portal relanzado;Éxito: mejor visibilidad y participación ciudadana;
Monitoreo Índice de Progreso Social (IPS);Medir y mejorar indicadores sociales y ambientales en el municipio;Evaluación / Monitoreo;2020–2025;Informe realizado;Éxito: fortaleció toma de decisiones públicas;
Programa “VL Sustentable”: Compostaje comunitario;Habilitar composteras en plazas y puntos verdes;Ambiente / Gestión de residuos;2023–2025;Implementado;Éxito: múltiples composteras activas;
